gene_symbol,entrez_id
NFE2L3,9603
VPS35,55737
CSMD1,64478
MSANTD2,79684
EFTUD2,9343
EN2,2020
KATNAL2,83473
CHRM3,1131
CCNG1,900
MYH10,4628
ORAI1,84876
NXPH1,30010
GABBR1,2550
PTGS2,5743
EIF3E,3646
ACADS,35
ACVR1,90
ADSS2,159
MPDZ,8777
POMT1,10585
MANBA,4126
BCAP31,10134
GDI1,2664
PACS1,55690
IQSEC2,23096
ALDH4A1,8659
SLC17A5,26503
NDUFA2,4695
GPC4,2239
ASAH1,427
DNM1L,10059
RUBCN,9711
OXTR,5021
KATNB1,10300
NDUFS4,4724
DMPK,1760
HSD17B4,3295
TSPYL4,23270
GPD2,2820
KCNH5,27133
PTEN,5728
CTSD,1509
RASSF5,83593
DDX53,168400
HOXD11,3237
CTNNA3,29119
CIB2,10518
KDM6B,23135
NOL11,25926
TRAF7,84231
ERMN,57471
OTUD7A,161725
CREBBP,1387
ARSA,410
AKT2,208
PRKDC,5591
PTPN11,5781
SYT17,51760
APBA2,321
SLC26A1,10861
NKAIN3,286183
PRPF39,55015
KPTN,11133
GRIN2A,2903
ZC4H2,55906
COL6A3,1293
CALN1,83698
EFR3A,23167
GLO1,2739
CDC42BPB,9578
PUS3,83480
CASZ1,54897
CACNA1D,776
TTN,7273
TICAM1,148022
GAMT,2593
DDC,1644
CSPP1,79848
APH1A,51107
DPM2,8818
MCM4,4173
SCN4A,6329
GTPBP3,84705
RAD21L1,642636
MBD5,55777
MAPRE2,10982
SETBP1,26040
CSF1R,1436
PXDN,7837
KCNA2,3737
ESR2,2100
GFM1,85476
CNGB3,54714
MARK1,4139
PHF3,23469
IGSF8,93185
POLG2,11232
SLC12A5,57468
BOLA3,388962
SLC1A2,6506
GABRA6,2559
MYT1L,23040
DEPDC5,9681
CTNNA2,1496
HTR1B,3351
PCCA,5095
CHN1,1123
BSN,8927
DAGLA,747
STAG1,10274
ALG13,79868
DAPP1,27071
ASMT,438
ADK,132
SEC24D,9871
HIVEP2,3097
ELAVL2,1993
EPG5,57724
KCNC3,3748
GRN,2896
DRD2,1813
PAFAH1B2,5049
KCTD13,253980
CTC1,80169
CP,1356
DIPK2A,205428
NDUFA1,4694
GYS1,2997
TELO2,9894
NRAS,4893
GBE1,2632
PSMD12,5718
AIFM1,9131
CGNL1,84952
TRIO,7204
PCDHA9,9752
TBP,6908
PAK3,5063
BBS4,585
DMXL2,23312
PLXNB2,23654
KCNAB2,8514
WASF1,8936
LARS2,23395
COQ2,27235
LRBA,987
SLC6A8,6535
ZFYVE26,23503
INTS6,26512
CTTNBP2,83992
MLYCD,23417
VDR,7421
TPO,7173
CEP41,95681
PCDHGA9,56107
ARHGEF9,23229
CHRNA7,1139
GBA,2629
SLC4A3,6508
ZC3H11A,9877
NRP2,8828
ILF2,3608
DNMT3A,1788
TRMT10A,93587
TBX1,6899
TUBB2B,347733
SLC25A12,8604
EPPK1,83481
CCIN,881
RAPGEF4,11069
CNTN6,27255
ZNF559,84527
ARID2,196528
GLI2,2736
ERLIN2,11160
ACTN4,81
ZBTB20,26137
NR1D1,9572
GSTM1,2944
CDH9,1007
HYDIN,54768
FCRL6,343413
SMG6,23293
CYP27A1,1593
BCKDK,10295
CHRDL1,91851
HLA-B,3106
FBXL4,26235
ACE,1636
CNKSR2,22866
IQGAP3,128239
SERPINI1,5274
P4HA2,8974
NANS,54187
D2HGDH,728294
HNRNPH1,3187
SCN1B,6324
KCNMB3,27094
DPP3,10072
COX10,1352
TM4SF19,116211
HEXA,3073
PROS1,5627
FAM111A,63901
EXOC3,11336
FARS2,10667
CNTNAP3,79937
CC2D2A,57545
LAMB1,3912
KCNA1,3736
CHMP1A,5119
ATXN10,25814
PSEN1,5663
TBC1D24,57465
CENPW,387103
SYT1,6857
MED25,81857
INO80,54617
PIGN,23556
PCDHAC2,56134
SASH1,23328
SLC1A3,6507
MNT,4335
GRIN2B,2904
METTL26,84326
PPP2R5D,5528
HIBCH,26275
THRB,7068
PDCD1,5133
RHEB,6009
RAC1,5879
FOXP2,93986
PAFAH1B1,5048
KAT2B,8850
RAB11FIP5,26056
PRKAR1B,5575
CELF4,56853
IDH2,3418
HDAC8,55869
RGS7,6000
CUL4B,8450
AUTS2,26053
IL6,3569
RNF25,64320
EBF3,253738
CD59,966
ETHE1,23474
ACO2,50
TECPR2,9895
TSPAN4,7106
STAMBP,10617
CTH,1491
COX6B1,1340
ARG1,383
RBM10,8241
ZEB2,9839
EXOC5,10640
KCNN3,3782
LAMC3,10319
CMPK2,129607
PIGM,93183
EFHC1,114327
ERMARD,55780
PCCB,5096
PAH,5053
LZTS2,84445
CADPS2,93664
ITPR1,3708
DMWD,1762
ALDH18A1,5832
CYP11B1,1584
LRRK2,120892
PHF8,23133
CNTN2,6900
ITGB1BP1,9270
UNC79,57578
CDH13,1012
DNER,92737
NPRL3,8131
ADCY5,111
CAD,790
SYNCRIP,10492
NRXN1,9378
PHF6,84295
GPX1,2876
PRKCA,5578
PODXL,5420
PCDHGB3,56102
CNOT3,4849
LMX1B,4010
RYR1,6261
TUBB2A,7280
SGSM3,27352
PAK1,5058
FGD1,2245
TAOK2,9344
AHI1,54806
HMGN1,3150
GAS2,2620
SIK1,150094
CYB5R3,1727
GLRA1,2741
CLPP,8192
CNTN5,53942
RNF135,84282
UNC13A,23025
CMIP,80790
GPX4,2879
POLG,5428
BCKDHA,593
KCNH1,3756
TBL1XR1,79718
PREX1,57580
IMMP2L,83943
TSPAN17,26262
SNTG2,54221
YEATS2,55689
NEO1,4756
GFRA1,2674
ME2,4200
ACOT7,11332
SMC1A,8243
ETFB,2109
PIK3AP1,118788
HOXD4,3233
MRI1,84245
TET2,54790
NDUFA5,4698
GABRG3,2567
ARNT2,9915
NDUFB11,54539
BRCA2,675
PCDHGB7,56099
PEX7,5191
GRM5,2915
POMT2,29954
SHANK2,22941
HS2ST1,9653
HGSNAT,138050
GRIA3,2892
DHX30,22907
LRFN2,57497
AP3D1,8943
ATPAF2,91647
GPR37,2861
DLG4,1742
FGFR3,2261
CUX1,1523
MEF2C,4208
ATP1A3,478
DNM3,26052
NAA10,8260
ALDH7A1,501
YY1,7528
ACTB,60
PTPN23,25930
SLC9A6,10479
SLC25A15,10166
CDH11,1009
GATA6,2627
HECTD4,283450
HIVEP3,59269
CTSF,8722
LAMA2,3908
NONO,4841
FLNA,2316
RPL10,6134
DIAPH1,1729
PEX3,8504
ZNF517,340385
ATN1,1822
AIMP1,9255
DLL1,28514
MUC4,4585
NPAS2,4862
PTBP2,58155
C4B,721
IL1RN,3557
UNC80,285175
SPATA5,166378
PGAP2,27315
PPP1R1B,84152
ELAVL3,1995
GJD2,57369
TDP2,51567
RAB39B,116442
RFT1,91869
DOCK4,9732
CHKB,1120
SPEN,23013
PRKX,5613
ZNF713,349075
PAK2,5062
PCDHA5,56143
BTAF1,9044
ERBB4,2066
PIGL,9487
PNPT1,87178
STX1A,6804
DYDC2,84332
MBD3,53615
AGAP1,116987
ASB14,142686
DLG3,1741
GRIK2,2898
SLC6A4,6532
HSPD1,3329
FTO,79068
NPRL2,10641
AMPD1,270
VSIG4,11326
NAPB,63908
GRM7,2917
KCNQ2,3785
PCDHGA5,56110
TRPC6,7225
OCRL,4952
PHGDH,26227
SLC33A1,9197
HTR3C,170572
DHFR,1719
PIGW,284098
LEO1,123169
PHF2,5253
CDK8,1024
CAMK2A,815
SETDB1,9869
ITPA,3704
DNAH3,55567
PRKCB,5579
ZMYND8,23613
PCDHGC4,56098
LAMA1,284217
BIRC6,57448
HCN1,348980
ACHE,43
SLC12A6,9990
HADHA,3030
IL1RAPL2,26280
COG6,57511
TUBB3,10381
PPT1,5538
ADRA2B,151
PCDHGA8,9708
LILRB2,10288
CCSER1,401145
HOXD8,3234
GRIK5,2901
ANO10,55129
HIP1,3092
KMT5B,51111
KCNJ6,3763
CX3CR1,1524
GABBR2,9568
PCDH9,5101
TBCD,6904
SLITRK5,26050
ZNF827,152485
MDGA2,161357
CAMTA1,23261
MMADHC,27249
KCNAB1,7881
ALG9,79796
TRAPPC11,60684
PRR12,57479
ACY1,95
RD3,343035
ZNF385B,151126
HLA-DPB1,3115
MED13L,23389
CHL1,10752
CHD7,55636
HOXA1,3198
OR2T10,127069
SMARCC2,6601
ZMYND11,10771
HSD17B10,3028
BCL10,8915
NRCAM,4897
PRDM8,56978
SGCE,8910
CSNK1E,1454
PCDHA7,56141
MAOB,4129
KCNJ10,3766
LEP,3952
GRM1,2911
GDA,9615
HERC2,8924
DLGAP1,9229
NALCN,259232
EGR3,1960
GCH1,2643
GRIA1,2890
PLXNB1,5364
ZFP57,346171
TBR1,10716
PPP1R15B,84919
PDHX,8050
NIPBL,25836
AVPR1A,552
SYT14,255928
NIN,51199
MEGF10,84466
SATB2,23314
TNK2,10188
KIF11,3832
ALG12,79087
GNPAT,8443
DVL3,1857
RALA,5898
PYHIN1,149628
AZGP1,563
CD276,80381
GPR85,54329
PCDHGA6,56109
MFSD2A,84879
AVPR1B,553
JMJD1C,221037
AGO3,192669
ADA,100
SCN2A,6326
SNAP25,6616
SMARCA4,6597
CACNA1I,8911
MYO16,23026
ACMSD,130013
C18orf25,147339
CLSTN1,22883
FBXO40,51725
SLC1A1,6505
PNPLA7,375775
HEPACAM,220296
RELN,5649
RIMS3,9783
PTPRC,5788
NLGN3,54413
ALG1,56052
YAP1,10413
TSC1,7248
ANOS1,3730
NCKAP1,10787
PTCHD1,139411
POLA2,23649
ST8SIA2,8128
CASK,8573
GABRA1,2554
MBD4,8930
CNTN3,5067
CUL3,8452
PLAUR,5329
DKC1,1736
THRA,7067
HTR2A,3356
PCDHB4,56131
TSPAN7,7102
DNAH10,196385
DPP6,1804
FOXRED1,55572
STYXL1,51657
KIF2A,3796
MRTFB,57496
NLGN1,22871
H2BC11,8970
TBCK,93627
MET,4233
CA6,765
DNMT1,1786
TNFAIP6,7130
OPLAH,26873
NRXN3,9369
FASN,2194
BRAF,673
ATP13A2,23400
ST7,7982
SCN8A,6334
PSAT1,29968
PPP2R1B,5519
TM4SF20,79853
AKAP9,10142
CPS1,1373
KCNS3,3790
JAM3,83700
KCNQ1,3784
VARS2,57176
KRIT1,889
RAPSN,5913
LRRC4,64101
TSPOAP1,9256
DLD,1738
NAA15,80155
ODF3L2,284451
ZNF462,58499
SLC25A1,6576
SLC7A7,9056
NOD2,64127
SON,6651
KDM4C,23081
VPS53,55275
HLA-G,3135
ADORA2A,135
TRMT44,152992
LRP1,4035
SLC9A9,285195
STRADA,92335
IL1R2,7850
GABRB1,2560
ATXN2,6311
ALDH5A1,7915
IRF2BPL,64207
GALNT8,26290
GLDC,2731
F2,2147
CACNA2D3,55799
COL2A1,1280
CHD1,1105
ASTN2,23245
MBTPS2,51360
GNAS,2778
ITSN1,6453
WDR73,84942
PER1,5187
GAD1,2571
NRXN2,9379
CAMK4,814
DPP4,1803
COL4A1,1282
MYH4,4622
GNB1,2782
CACNA2D1,781
PCDHA11,56138
LRFN5,145581
AGO1,26523
PPP2CA,5515
MTFMT,123263
EHMT1,79813
TSC2,7249
GABRA3,2556
RTN4R,65078
AGMO,392636
RFX3,5991
ARFGEF2,10564
SLC24A2,25769
PCDH12,51294
ATP1A1,476
RALGAPB,57148
KRAS,3845
WDR62,284403
EBP,10682
ADNP,23394
GK,2710
EARS2,124454
TSEN15,116461
SUCLA2,8803
NUP133,55746
SRCAP,10847
NHLRC1,378884
TCF4,6925
SPR,6697
SHOX,6473
MFSD8,256471
LMNB2,84823
CYLC2,1539
PTPRB,5787
RAB2A,5862
COG8,84342
DLG2,1740
GPT2,84706
VAMP2,6844
CYP27B1,1594
PIGV,55650
DOLK,22845
SOX5,6660
PCDHGA10,56106
NFIA,4774
NTRK2,4915
GNB1L,54584
CACNA1H,8912
ATRX,546
SERPINE1,5054
SND1,27044
ADAM22,53616
SNIP1,79753
TSEN54,283989
SEZ6,124925
ZDHHC15,158866
WDFY3,23001
APP,351
GALNT13,114805
GABRG2,2566
XPC,7508
OR10H2,26538
CAMK2B,816
PDHA1,5160
HESX1,8820
MAPT,4137
SNRPN,6638
ANXA1,301
SCARB2,950
FAM98C,147965
HNRNPH2,3188
NAALADL2,254827
MCM8,84515
KDM5C,8242
ALG2,85365
HNRNPU,3192
TMEM70,54968
RP11-1407O15.2,-1
CAV3,859
FMR1,2332
ANKS1B,56899
BMP5,653
MOGS,7841
POMGNT1,55624
CRLF1,9244
ATIC,471
CCDC88A,55704
GATAD2B,57459
MAN2A2,4122
TUBA1A,7846
HCN2,610
ATP1A2,477
RANGAP1,5905
SMARCE1,6605
CCDC88C,440193
CACNA1G,8913
POMC,5443
DOCK1,1793
WNT1,7471
PSMB8,5696
ST3GAL5,8869
RORA,6095
PEX13,5194
PCDHA12,56137
RORB,6096
ACTG1,71
DST,667
CACNA1E,777
GATM,2628
CLN5,1203
GLYCTK,132158
FGA,2243
NCKAP5,344148
PLCD4,84812
SYN1,6853
HSD11B1,3290
NRG3,10718
NDUFS8,4728
SAMD11,148398
CBL,867
NTNG2,84628
MPDU1,9526
DOCK6,57572
HDAC4,9759
PIGG,54872
PPP1R3C,5507
DNAH17,8632
KCNE1,3753
HLA-DRB1,3123
KDM3B,51780
PCDHGB2,56103
KRT26,353288
PGAP3,93210
CDKL5,6792
LMAN2L,81562
PCDHGA12,26025
ASAP2,8853
ARX,170302
FAT1,2195
ATP10A,57194
CC2D1A,54862
ANK2,287
TAF6,6878
RMND1,55005
PON1,5444
UBN2,254048
PEX19,5824
NID1,4811
TK2,7084
MBOAT7,79143
SLC46A1,113235
ADSL,158
PHF21A,51317
CNTN4,152330
COQ8A,56997
SLC7A5,8140
SCN3A,6328
TAF1,6872
XPO1,7514
AGAP2,116986
PIGY,84992
AMT,275
CLCN2,1181
ASH1L,55870
SOBP,55084
DMD,1756
ZNF44,51710
MYH14,79784
GUF1,60558
PNPO,55163
UBR5,51366
STYK1,55359
DLGAP3,58512
CTNND2,1501
ZNF12,7559
THAP1,55145
NPC1,4864
HECW2,57520
PUF60,22827
KCTD7,154881
KCNH2,3757
PCDHA1,56147
CUL7,9820
SDC2,6383
OR1C1,26188
PCDH19,57526
PCDHGA11,56105
NR4A2,4929
KRR1,11103
GRIK4,2900
TANC2,26115
RBP4,5950
HCK,3055
CADPS,8618
BCL11A,53335
PRICKLE1,144165
FRK,2444
IFNAR2,3455
POU3F3,5455
KCTD3,51133
FAN1,22909
AVPR2,554
WDR19,57728
SV2A,9900
RIMS1,22999
ALG3,10195
ZWILCH,55055
ADRB2,154
KAT6A,7994
CAPN12,147968
NELL1,4745
HRAS,3265
ABHD12,26090
SHANK3,85358
COQ4,51117
MAF,4094
ENG,2022
TMEM39B,55116
MUC12,10071
UPF3B,65109
NEDD4,4734
SCN1A,6323
CHAMP1,283489
KCNQ3,3786
NDN,4692
HOMER1,9456
PCDHGA3,56112
KCNMA1,3778
SLC6A1,6529
RAB43,339122
PCDHA13,56136
DNM1,1759
SLCO1B3,28234
ITGB3,3690
NSDHL,50814
PER2,8864
SACS,26278
MRAP,56246
WAC,51322
SLC25A22,79751
NR2F1,7025
MECP2,4204
EIF3G,8666
FASTKD2,22868
KLF13,51621
DLX3,1747
PLP1,5354
AGTR2,186
CLN3,1201
POMK,84197
FIG4,9896
CHRNA4,1137
ROGDI,79641
CADM1,23705
ZNF182,7569
PCLO,27445
NRG2,9542
CHRNA2,1135
DCX,1641
PLA2G6,8398
BRAT1,221927
TRAPPC9,83696
UPF2,26019
NEB,4703
TDP1,55775
NHS,4810
KCNB1,3745
NIPA1,123606
AP4S1,11154
GAS2L2,246176
ACTL6B,51412
IL10,3586
SLC35A3,23443
PRNP,5621
HOXD12,3238
KLF16,83855
TBC1D23,55773
ZNF18,7566
NR3C2,4306
DYRK1A,1859
GPHN,10243
GABRA4,2557
FADD,8772
RANBP2,5903
UBA5,79876
UBE2A,7319
ATP6AP1,537
DLX2,1746
SETD5,55209
FSTL5,56884
STX1B,112755
DMBX1,127343
SET,6418
SF3B1,23451
IER3IP1,51124
NEU1,4758
TDO2,6999
ARHGAP32,9743
GLIS1,148979
DIP2A,23181
RLIM,51132
EIF2B1,1967
CACNA1F,778
GRID1,2894
MACROD2,140733
TCF7L2,6934
ARID1B,57492
MTMR11,10903
GALNT14,79623
SPAST,6683
SLC25A2,83884
ELOVL4,6785
STT3A,3703
GRINA,2907
PCDHGB5,56101
ELOVL2,54898
EP400,57634
KCNJ2,3759
BDNF,627
TCF20,6942
CPZ,8532
CPEB4,80315
NEXMIF,340533
MCCC1,56922
CDH10,1008
AMACR,23600
DIXDC1,85458
NSMCE3,56160
PTH,5741
SMC3,9126
SRSF11,9295
VPS13B,157680
MTOR,2475
TPK1,27010
PTPRT,11122
CACNB2,783
PURA,5813
NLGN2,57555
PITX1,5307
COL18A1,80781
HS3ST5,222537
GMPPB,29925
GMEB2,26205
MRPS22,56945
RAPGEF6,51735
PCDHA8,56140
ELP4,26610
OPA1,4976
VPS11,55823
FLT4,2324
CRYAB,1410
TUBGCP5,114791
TTR,7276
CLASP1,23332
USP9X,8239
INPP4A,3631
KIRREL3,84623
PC,5091
OFD1,8481
HOXD1,3231
MOCS2,4338
SLC35B1,10237
CACNA1B,774
B4GAT1,11041
PCDHA4,56144
ZBTB18,10472
SMURF1,57154
SLC13A5,284111
EXOC6,54536
NTNG1,22854
SKI,6497
HSPG2,3339
GABRB2,2561
KIF13B,23303
SNX5,27131
DYDC1,143241
MED13,9969
SLC27A4,10999
KDM6A,7403
DDX3X,1654
COL6A2,1292
STT3B,201595
ALDH1A3,220
PCDHA3,56145
CSTB,1476
GRIK3,2899
PHIP,55023
NINL,22981
GUCY1A2,2977
PCDHGB4,8641
PDYN,5173
TRPM1,4308
CEP290,80184
CHD2,1106
PIGT,51604
GAL,51083
CHD4,1108
MED12,9968
PDSS2,57107
CDH8,1006
NPC2,10577
NCOR1,9611
PAPOLG,64895
NPC1L1,29881
KCNJ11,3767
GPC6,10082
COQ9,57017
CACNB4,785
AP1S2,8905
DNAJC5,80331
OTX1,5013
PCDHGA1,56114
CLN8,2055
MEGF11,84465
HACE1,57531
SCFD2,152579
RIT2,6014
PEX14,5195
GOSR2,9570
TUBA3E,112714
CNR1,1268
UIMC1,51720
L1CAM,3897
HOXD3,3232
TAF1C,9013
CARD11,84433
CLN6,54982
CHRFAM7A,89832
PCDHGA7,56108
KDM4B,23030
JRK,8629
CXCR4,7852
SRGAP3,9901
SLC22A9,114571
MAN1B1,11253
MSC,9242
KDM1B,221656
MAOA,4128
MTR,4548
POGZ,23126
TMLHE,55217
PRODH,5625
ANKLE2,23141
GTF2I,2969
EPHA5,2044
MMAA,166785
SLC39A8,64116
CRB2,286204
SLC2A1,6513
TRPM6,140803
PCDHGB1,56104
AFF2,2334
DPP10,57628
NAV2,89797
RHOXF1,158800
FHIT,2272
PRKN,5071
CDH22,64405
CHRNB3,1142
AR,367
SETD2,29072
ARID1A,8289
HDLBP,3069
CYFIP1,23191
LIN7B,64130
MCPH1,79648
NDP,4693
HUWE1,10075
SMARCB1,6598
PCM1,5108
MEIS2,4212
EPHB2,2048
TTI2,80185
EXOSC3,51010
NSD1,64324
VIL1,7429
NDE1,54820
