gene,ppi_degree,phenotype_degree,ppi_betweenness,phenotype_betweenness,module_multiplex,module_ppi,module_phenotype,e1,e2,e3,e4,a1,a2,a3,as,common,common_all,a_specific,e_specific,annotated_type
ADSL,12,1,0.0014972096668687184,0.0,2,4,9,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,"Epilepsy 3, Autism 1"
ADSS2,11,0,0.0017105556797119108,0.0,2,4,219,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,Autism 3
AFF2,1,5,0.0,0.0033325423174244122,2,7,3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Autism 1
AFG3L2,6,0,0.0013058382566229758,0.0,2,9,415,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Epilepsy 3
AGAP1,0,5,0.0,0.0003313912020007036,8,322,8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,Autism 3
AGAP2,2,5,3.053443279770277e-06,0.0006423192725504068,8,7,8,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,Autism 2
AGBL4,0,0,0.0,0.0,86,179,258,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,Autism 3
AGL,5,26,0.003581611669468853,0.006272149690997882,2,11,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Epilepsy 3
AGMO,3,0,0.0,0.0,2,4,122,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,Autism 3
AGO1,24,0,0.003755849767067671,0.0,4,2,218,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,Autism 2
AGO3,21,0,0.0026429536117255747,0.0,4,2,210,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,Autism 3
AGO4,21,0,0.0019020287171547124,0.0,4,2,123,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,"Epilepsy 4, Autism 2"
AGPS,8,1,2.825362394906164e-05,0.0,2,14,53,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Epilepsy 3
AGTR2,33,19,0.00030275910246935293,0.00027089262902944795,9,6,4,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,"Epilepsy 4, Autism 3"
AHDC1,0,5,0.0,3.4379265177586096e-06,6,56,22,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Autism 1
AHI1,21,19,0.0,0.0008215219693876364,5,3,5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,"Epilepsy 3, Autism S"
AIFM1,1,1,0.0,0.0,5,3,51,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Epilepsy 3
AIMP1,7,9,0.0001141193363222508,0.0,2,4,17,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Epilepsy 3
AKAP9,47,53,0.009020408631166214,0.002222033820762476,3,3,2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,Autism 2
AKT2,20,105,0.0023204335167028344,0.002181787235026793,1,1,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Epilepsy 3
AKT3,14,134,0.00039833595693810085,0.008451908780819044,1,1,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Epilepsy 4
ALDH18A1,16,0,0.0078052773020721835,0.0,2,4,158,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Epilepsy 3
ALDH1A3,6,2,0.0001471964266993431,2.323045345537094e-05,2,4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,Autism S
ALDH4A1,11,20,0.0009191869455100701,0.00013884214365158336,2,4,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Epilepsy 3
ALDH5A1,5,4,0.0007372989887341153,0.0024546795336796473,2,4,6,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Autism 1
ALDH7A1,16,0,0.004241337270975156,0.0,2,4,456,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Epilepsy 1
ALG1,12,31,0.00010123486242571256,0.004204354185133361,7,11,4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Epilepsy 3
ALG11,11,25,0.0001495772003833133,0.00010078166967008698,7,11,4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Epilepsy 3
ALG12,11,28,0.00037767078012845433,0.0005579875152061875,7,11,4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Epilepsy 3
ALG13,8,36,0.0,0.007514729839475963,7,11,4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Epilepsy 1
ALG2,11,19,0.004114586504712293,0.00012434460988939943,7,11,4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Epilepsy 3
ALG3,17,27,0.008876677837262674,0.0028402609455905545,7,11,4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Epilepsy 3
ALG6,13,33,0.0002371241687228642,0.004666248746113796,7,11,4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,"Epilepsy 3, Autism S"
ALG9,9,22,1.8663773807771361e-06,5.462571418285737e-05,7,11,4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Epilepsy 3
AMACR,7,1,0.0,0.0,2,14,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Epilepsy 3
AMER1,11,0,0.000453400790047846,0.0,1,3,351,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Epilepsy 3
AMPD1,6,3,9.461993677217857e-06,3.1630276679325366e-05,2,4,9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,Autism 2
AMPD2,7,3,1.9790399706418336e-05,0.0,2,4,10,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Epilepsy 2
AMT,11,5,0.002030005997381529,0.00032334297808448705,2,4,3,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,"Epilepsy 3, Autism 2"
ANK2,30,22,0.0038490105278166254,4.7021275450052574e-05,3,5,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Autism 1
ANK3,25,27,0.002103673903251691,0.003509033434264811,3,5,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,"Epilepsy 3, Autism 1"
ANKH,0,0,0.0,0.0,115,245,349,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Epilepsy 3
ANKLE2,0,8,0.0,0.0004151644724610355,5,194,5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Epilepsy 2
ANKRD11,0,0,0.0,0.0,106,221,316,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Autism 1
ANKS1B,0,20,0.0,1.0955891053048803e-05,6,50,12,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,"Autism 3, Autism S"
ANO10,1,0,0.0,0.0,5,5,101,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Epilepsy 3
ANOS1,3,0,0.0014883781420448156,0.0,9,9,141,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Epilepsy 3
ANXA1,42,26,0.0010456049514833915,0.0008611479465165141,9,6,2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,Autism 2
AP1S2,13,0,0.00020339112046555935,0.0,8,8,282,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,"Epilepsy 3, Autism S"
AP3D1,4,0,0.0010202241164842141,0.0,8,8,342,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Epilepsy 3
AP4B1,12,3,0.0008553436294917976,0.00030392807143531423,8,8,8,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Epilepsy 3
AP4E1,11,2,0.0013113967974287622,0.0,8,8,8,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Epilepsy 3
AP4S1,5,3,0.0002623401190404037,0.0009380778508807598,8,8,8,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Epilepsy 3
APBA2,8,30,0.0002654707511397934,0.002542201850624208,6,8,12,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,Autism 3
APBB1,4,10,0.00038373850221929524,4.380901824179053e-06,4,8,7,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,Autism 2
APH1A,9,6,0.00031308239705460936,0.0010797220693974268,1,1,10,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,Autism 2
APOE,31,2,0.003815531267393632,0.0007301124067686241,1,1,10,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Epilepsy 4
APOPT1,0,5,0.0,0.0,2,202,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Epilepsy 3
APP,91,7,0.0307723482427122,3.9277027843392695e-05,9,6,6,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Epilepsy 3
AR,27,41,0.008747001125722104,0.004356582224412965,1,2,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,Autism 3
ARFGEF2,4,3,0.0009745301907431742,0.0008069792781534133,5,6,14,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Epilepsy 2
ARG1,23,0,0.006038401981863088,0.0,8,13,296,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Epilepsy 3
ARHGAP11B,3,9,5.6708810013923543e-05,0.003497172889843198,11,3,11,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,Autism 3
ARHGAP32,4,7,5.350962247302349e-05,0.00022770477145474849,11,1,11,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,Autism 3
ARHGAP5,5,12,0.00010515290302960454,0.006071267821504463,1,1,11,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,Autism 3
ARHGDIA,5,0,0.0009637113371611813,0.0,1,1,194,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Epilepsy 3
ARHGEF10,2,4,0.00022743549132363684,0.0024526167777689924,8,16,8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,Autism 3
ARHGEF15,3,6,0.00014084545960721246,0.0025035778717257913,8,1,8,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Epilepsy 4
ARHGEF9,10,3,0.0019223418124724042,4.1311918558901574e-05,3,17,2,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,"Epilepsy 1, Autism 1"
ARID1A,23,15,0.0026111035597684395,0.0003677272490607426,4,2,7,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Epilepsy 3
ARID1B,12,15,3.638575608720593e-05,0.00017026260472513497,4,2,7,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,"Epilepsy 3, Autism 1"
ARID2,9,10,1.6319576002806196e-05,2.1391542777164684e-07,4,2,7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,"Autism 3, Autism S"
ARNT2,0,2,0.0,0.0,8,163,11,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,"Epilepsy 3, Autism 3"
ARSA,13,0,0.00012344043539807377,0.0,8,13,442,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Epilepsy 3
ARV1,2,26,2.425741949972728e-06,0.0016164927354920195,3,11,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Epilepsy 1
ARX,1,15,0.0,0.00028259465635826266,6,5,14,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,"Epilepsy 2, Autism 1"
ASAH1,8,0,0.00014895390869632623,0.0,8,13,189,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Epilepsy 3
ASAP2,2,4,0.0,4.337831870270958e-05,8,1,8,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,Autism 2
ASB14,27,3,0.0,2.2928866816684685e-05,12,12,10,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,Autism 3
ASH1L,10,18,0.0013391772682421707,5.831842776202932e-05,4,2,7,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Autism 1
ASMT,1,38,0.0,0.0057479236310168475,2,4,3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,Autism 3
ASNS,10,8,0.0013393617055511,0.0034006494848100063,2,4,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Epilepsy 3
ASPM,12,9,0.0007072734569209502,4.248103037652395e-05,5,3,5,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,"Epilepsy 2, Autism 2"
ASTN2,0,0,0.0,0.0,153,327,450,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,Autism 2
ASXL1,9,0,0.001006423498074989,0.0,4,2,348,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Epilepsy 3
ASXL3,0,0,0.0,0.0,37,74,119,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Autism 1
ATIC,10,1,0.0011104530650038133,0.0,2,4,30,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Epilepsy 3
ATN1,5,1,0.00010715859283301343,0.0,4,2,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Epilepsy 2
ATP10A,5,4,0.0001704990754602189,0.0002725129753076736,12,13,12,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,Autism 2
ATP13A2,8,1,0.0016996246417728693,0.0,8,12,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Epilepsy 4
ATP1A1,10,18,0.002606622004160304,0.0012743395974141134,3,5,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,"Autism 3, Autism S"
ATP1A2,8,2,0.00042173986339291876,0.0,3,5,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Epilepsy 3
ATP1A3,7,0,0.0008577361547573486,0.0,3,5,273,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,"Epilepsy 3, Autism 3, Autism S"
ATP2B2,1,0,0.0,0.0,3,5,427,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,Autism 2
ATP5A1,23,5,0.01328564728073671,0.0011343585785769004,2,9,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Epilepsy 3
ATP6AP1,10,94,0.0037371580561267365,0.00534364432114015,1,16,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Epilepsy 3
ATP6AP2,13,1,0.0018140172852191033,0.0,1,16,10,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Epilepsy 3
ATP6V0A2,6,1,0.0015099180505414901,0.0,1,16,1,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,"Epilepsy 3, Autism 3"
ATP6V0C,18,111,0.008144613373753279,0.009805355570516037,1,16,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Epilepsy 4
ATP7A,2,0,1.9637303006089476e-05,0.0,1,10,402,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Epilepsy 3
ATP8A2,0,2,0.0,0.0,12,99,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Epilepsy 4
ATPAF2,5,13,0.0010243672957155267,2.172663152367994e-06,2,9,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Epilepsy 3
ATRX,8,0,0.0009027186645812832,0.0,4,3,424,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Autism 1
ATXN10,2,3,0.0009433670364729625,1.3066323000893213e-05,5,5,5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Epilepsy 3
ATXN2,2,1,0.0009433670364729625,0.0,10,5,10,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Epilepsy 4
AUH,4,9,0.00017608613960445326,0.00011152656327615921,2,4,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Epilepsy 3
AUTS2,3,2,3.5095200905108145e-06,0.000818914096530101,8,1,11,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,"Epilepsy 3, Autism 1"
AVPR1A,20,9,2.1877773085645214e-05,0.00014614113106503916,9,6,6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,Autism 2
AVPR1B,21,10,3.6587432328539505e-05,0.00027721535038408083,9,6,6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,Autism 3
AVPR2,28,0,0.0006467270837753308,0.0,8,8,301,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Epilepsy 3
AZGP1,0,2,0.0,0.0008189140965301009,5,308,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,Autism 3
B4GAT1,2,0,0.0,0.0,7,11,376,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Epilepsy 3
BAZ2B,0,2,0.0,0.0,4,63,29,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Autism 1
BBS4,5,9,2.5942391708795933e-05,5.159561048213485e-07,5,3,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,Autism 3
BCAP31,4,4,0.0019110701201436604,0.00013147130646866032,12,12,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Epilepsy 3
BCAS1,1,0,0.0,0.0,2,1,380,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,Autism 3
BCKDHA,10,4,0.0014607288291912717,0.00011499972472594171,2,4,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Epilepsy 3
BCKDK,2,3,0.0,0.0,2,4,3,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,"Epilepsy 3, Autism 1"
BCL10,3,0,0.0005698439705169199,0.0,1,1,452,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Epilepsy 3
