HPO,parent,HPO_name
HP:0032680,HP:0032679,Focal cognitive seizure
HP:0032716,HP:0032679,Focal impaired awareness non-motor seizure
HP:0032716,HP:0032679,Focal impaired awareness non-motor seizure
HP:0032716,HP:0032679,Focal impaired awareness non-motor seizure
HP:0011173,HP:0032679,Focal behavior arrest seizure
HP:0011154,HP:0032679,Focal autonomic seizure
HP:0001327,HP:0020216,Photosensitive myoclonic seizure
HP:0001327,HP:0020216,Photosensitive myoclonic seizure
HP:0001327,HP:0020216,Photosensitive myoclonic seizure
HP:0001327,HP:0020216,Photosensitive myoclonic seizure
HP:0001327,HP:0020216,Photosensitive myoclonic seizure
HP:0001327,HP:0020216,Photosensitive myoclonic seizure
HP:0001327,HP:0020216,Photosensitive myoclonic seizure
HP:0001327,HP:0020216,Photosensitive myoclonic seizure
HP:0007207,HP:0020216,Photosensitive tonic-clonic seizure
HP:0007207,HP:0020216,Photosensitive tonic-clonic seizure
HP:0007207,HP:0020216,Photosensitive tonic-clonic seizure
HP:0007207,HP:0020216,Photosensitive tonic-clonic seizure
HP:0007207,HP:0020216,Photosensitive tonic-clonic seizure
HP:0007207,HP:0020216,Photosensitive tonic-clonic seizure
HP:0007207,HP:0020216,Photosensitive tonic-clonic seizure
HP:0007207,HP:0020216,Photosensitive tonic-clonic seizure
HP:0032855,HP:0020216,Photosensitive myoclonic-tonic-clonic seizure
HP:0032855,HP:0020216,Photosensitive myoclonic-tonic-clonic seizure
HP:0032855,HP:0020216,Photosensitive myoclonic-tonic-clonic seizure
HP:0032855,HP:0020216,Photosensitive myoclonic-tonic-clonic seizure
HP:0032855,HP:0020216,Photosensitive myoclonic-tonic-clonic seizure
HP:0032855,HP:0020216,Photosensitive myoclonic-tonic-clonic seizure
HP:0032895,HP:0032894,Febrile seizure outside the age of 3 months to 6 years
HP:0032895,HP:0032894,Febrile seizure outside the age of 3 months to 6 years
HP:0002373,HP:0032894,Febrile seizure (within the age range of 3 months to 6 years)
HP:0032659,HP:0031475,Non-convulsive status epilepticus with coma
HP:0032659,HP:0031475,Non-convulsive status epilepticus with coma
HP:0032671,HP:0031475,Non-convulsive status epilepticus without coma
HP:0032868,HP:0032867,Super-refractory status epilepticus
HP:0032868,HP:0032867,Super-refractory status epilepticus
HP:0032667,HP:0032658,Myoclonic status epilepticus
HP:0032670,HP:0032658,Tonic status epilepticus
HP:0032670,HP:0032658,Tonic status epilepticus
HP:0032666,HP:0032658,Hyperkinetic status epilepticus
HP:0032666,HP:0032658,Hyperkinetic status epilepticus
HP:0032660,HP:0032658,Convulsive status epilepticus
HP:0032660,HP:0032658,Convulsive status epilepticus
HP:0032663,HP:0032658,Focal motor status epilepticus
HP:0002123,HP:0032677,Generalized myoclonic seizure
HP:0002123,HP:0032677,Generalized myoclonic seizure
HP:0002123,HP:0032677,Generalized myoclonic seizure
HP:0011170,HP:0032677,Generalized myoclonic-atonic seizure
HP:0011170,HP:0032677,Generalized myoclonic-atonic seizure
HP:0011170,HP:0032677,Generalized myoclonic-atonic seizure
HP:0011170,HP:0032677,Generalized myoclonic-atonic seizure
HP:0032795,HP:0032677,Generalized myoclonic-tonic-clonic seizure
HP:0032795,HP:0032677,Generalized myoclonic-tonic-clonic seizure
HP:0011169,HP:0032677,Generalized clonic seizure
HP:0011169,HP:0032677,Generalized clonic seizure
HP:0011169,HP:0032677,Generalized clonic seizure
HP:0011169,HP:0032677,Generalized clonic seizure
HP:0011169,HP:0032677,Generalized clonic seizure
HP:0011169,HP:0032677,Generalized clonic seizure
HP:0032887,HP:0032677,Generalized atonic seizure
HP:0032887,HP:0032677,Generalized atonic seizure
HP:0032887,HP:0032677,Generalized atonic seizure
HP:0032887,HP:0032677,Generalized atonic seizure
HP:0032887,HP:0032677,Generalized atonic seizure
HP:0032887,HP:0032677,Generalized atonic seizure
HP:0010818,HP:0032677,Generalized tonic seizure
HP:0010818,HP:0032677,Generalized tonic seizure
HP:0010818,HP:0032677,Generalized tonic seizure
HP:0010818,HP:0032677,Generalized tonic seizure
HP:0010818,HP:0032677,Generalized tonic seizure
HP:0010818,HP:0032677,Generalized tonic seizure
HP:0025190,HP:0032677,Bilateral tonic-clonic seizure with generalized onset
HP:0025190,HP:0032677,Bilateral tonic-clonic seizure with generalized onset
HP:0025190,HP:0032677,Bilateral tonic-clonic seizure with generalized onset
HP:0032842,HP:0032677,Generalized-onset epileptic spasm
HP:0032842,HP:0032677,Generalized-onset epileptic spasm
HP:0032842,HP:0032677,Generalized-onset epileptic spasm
HP:0032842,HP:0032677,Generalized-onset epileptic spasm
HP:0032842,HP:0032677,Generalized-onset epileptic spasm
HP:0032842,HP:0032677,Generalized-onset epileptic spasm
HP:0011167,HP:0032792,Focal tonic seizure
HP:0011167,HP:0032792,Focal tonic seizure
HP:0011167,HP:0032792,Focal tonic seizure
HP:0010818,HP:0032792,Generalized tonic seizure
HP:0010818,HP:0032792,Generalized tonic seizure
HP:0010818,HP:0032792,Generalized tonic seizure
HP:0010818,HP:0032792,Generalized tonic seizure
HP:0010818,HP:0032792,Generalized tonic seizure
HP:0010818,HP:0032792,Generalized tonic seizure
HP:0020220,HP:0010819,Focal atonic seizure
HP:0020220,HP:0010819,Focal atonic seizure
HP:0020220,HP:0010819,Focal atonic seizure
HP:0032887,HP:0010819,Generalized atonic seizure
HP:0032887,HP:0010819,Generalized atonic seizure
HP:0032887,HP:0010819,Generalized atonic seizure
HP:0032887,HP:0010819,Generalized atonic seizure
HP:0032887,HP:0010819,Generalized atonic seizure
HP:0032887,HP:0010819,Generalized atonic seizure
HP:0012469,HP:0011097,Infantile spasms
HP:0012469,HP:0011097,Infantile spasms
HP:0032842,HP:0011097,Generalized-onset epileptic spasm
HP:0032842,HP:0011097,Generalized-onset epileptic spasm
HP:0032842,HP:0011097,Generalized-onset epileptic spasm
HP:0032842,HP:0011097,Generalized-onset epileptic spasm
HP:0032842,HP:0011097,Generalized-onset epileptic spasm
HP:0032842,HP:0011097,Generalized-onset epileptic spasm
HP:0032843,HP:0011097,Focal-onset epileptic spasm
HP:0032843,HP:0011097,Focal-onset epileptic spasm
HP:0032843,HP:0011097,Focal-onset epileptic spasm
HP:0011174,HP:0011153,Focal hyperkinetic seizure
HP:0011174,HP:0011153,Focal hyperkinetic seizure
HP:0032720,HP:0011153,Focal motor seizure with dysarthria/anarthria
HP:0032720,HP:0011153,Focal motor seizure with dysarthria/anarthria
HP:0011175,HP:0011153,Focal motor seizure with version
HP:0011175,HP:0011153,Focal motor seizure with version
HP:0032712,HP:0011153,Focal impaired awareness motor seizure
HP:0032712,HP:0011153,Focal impaired awareness motor seizure
HP:0032712,HP:0011153,Focal impaired awareness motor seizure
HP:0032712,HP:0011153,Focal impaired awareness motor seizure
HP:0011166,HP:0011153,Focal myoclonic seizure
HP:0011166,HP:0011153,Focal myoclonic seizure
HP:0011166,HP:0011153,Focal myoclonic seizure
HP:0032843,HP:0011153,Focal-onset epileptic spasm
HP:0032843,HP:0011153,Focal-onset epileptic spasm
HP:0032843,HP:0011153,Focal-onset epileptic spasm
HP:0032898,HP:0011153,Focal automatism seizure
HP:0032898,HP:0011153,Focal automatism seizure
HP:0032718,HP:0011153,Focal motor seizure with dystonia
HP:0032718,HP:0011153,Focal motor seizure with dystonia
HP:0011167,HP:0011153,Focal tonic seizure
HP:0011167,HP:0011153,Focal tonic seizure
HP:0011167,HP:0011153,Focal tonic seizure
HP:0032715,HP:0011153,Focal bilateral motor seizure
HP:0032715,HP:0011153,Focal bilateral motor seizure
HP:0002266,HP:0011153,Focal clonic seizure
HP:0002266,HP:0011153,Focal clonic seizure
HP:0002266,HP:0011153,Focal clonic seizure
HP:0032721,HP:0011153,Focal motor seizure with paresis/paralysis
HP:0032721,HP:0011153,Focal motor seizure with paresis/paralysis
HP:0020217,HP:0011153,Focal aware motor seizure
HP:0020217,HP:0011153,Focal aware motor seizure
HP:0020217,HP:0011153,Focal aware motor seizure
HP:0020220,HP:0011153,Focal atonic seizure
HP:0020220,HP:0011153,Focal atonic seizure
HP:0020220,HP:0011153,Focal atonic seizure
HP:0032846,HP:0011153,Focal motor seizure with negative myoclonus
HP:0032846,HP:0011153,Focal motor seizure with negative myoclonus
HP:0002266,HP:0020221,Focal clonic seizure
HP:0002266,HP:0020221,Focal clonic seizure
HP:0002266,HP:0020221,Focal clonic seizure
HP:0011169,HP:0020221,Generalized clonic seizure
HP:0011169,HP:0020221,Generalized clonic seizure
HP:0011169,HP:0020221,Generalized clonic seizure
HP:0011169,HP:0020221,Generalized clonic seizure
HP:0011169,HP:0020221,Generalized clonic seizure
HP:0011169,HP:0020221,Generalized clonic seizure
HP:0002123,HP:0032794,Generalized myoclonic seizure
HP:0002123,HP:0032794,Generalized myoclonic seizure
HP:0002123,HP:0032794,Generalized myoclonic seizure
HP:0011166,HP:0032794,Focal myoclonic seizure
HP:0011166,HP:0032794,Focal myoclonic seizure
HP:0011166,HP:0032794,Focal myoclonic seizure
HP:0032811,HP:0032808,Neonatal electrographic only seizure
HP:0032811,HP:0032808,Neonatal electrographic only seizure
HP:0032809,HP:0032808,Neonatal electro-clinical seizure
HP:0011149,HP:0002121,Absence seizure with eyelid myoclonia
HP:0011149,HP:0002121,Absence seizure with eyelid myoclonia
HP:0011149,HP:0002121,Absence seizure with eyelid myoclonia
HP:0011149,HP:0002121,Absence seizure with eyelid myoclonia
HP:0011149,HP:0002121,Absence seizure with eyelid myoclonia
HP:0011149,HP:0002121,Absence seizure with eyelid myoclonia
HP:0011149,HP:0002121,Absence seizure with eyelid myoclonia
HP:0011149,HP:0002121,Absence seizure with eyelid myoclonia
HP:0011149,HP:0002121,Absence seizure with eyelid myoclonia
HP:0011149,HP:0002121,Absence seizure with eyelid myoclonia
HP:0011150,HP:0002121,Myoclonic absence seizure
HP:0011150,HP:0002121,Myoclonic absence seizure
HP:0011150,HP:0002121,Myoclonic absence seizure
HP:0011150,HP:0002121,Myoclonic absence seizure
HP:0007270,HP:0002121,Atypical absence seizure
HP:0007270,HP:0002121,Atypical absence seizure
HP:0007270,HP:0002121,Atypical absence seizure
HP:0007270,HP:0002121,Atypical absence seizure
HP:0011147,HP:0002121,Typical absence seizure
HP:0011147,HP:0002121,Typical absence seizure
HP:0032712,HP:0002384,Focal impaired awareness motor seizure
HP:0032712,HP:0002384,Focal impaired awareness motor seizure
HP:0032712,HP:0002384,Focal impaired awareness motor seizure
HP:0032712,HP:0002384,Focal impaired awareness motor seizure
HP:0032716,HP:0002384,Focal impaired awareness non-motor seizure
HP:0032716,HP:0002384,Focal impaired awareness non-motor seizure
HP:0032716,HP:0002384,Focal impaired awareness non-motor seizure
HP:0007270,HP:0002121,Atypical absence seizure
HP:0007270,HP:0002121,Atypical absence seizure
HP:0007270,HP:0002121,Atypical absence seizure
HP:0007270,HP:0002121,Atypical absence seizure
HP:0011150,HP:0002121,Myoclonic absence seizure
HP:0011150,HP:0002121,Myoclonic absence seizure
HP:0011150,HP:0002121,Myoclonic absence seizure
HP:0011150,HP:0002121,Myoclonic absence seizure
HP:0011147,HP:0002121,Typical absence seizure
HP:0011147,HP:0002121,Typical absence seizure
HP:0011149,HP:0002121,Absence seizure with eyelid myoclonia
HP:0011149,HP:0002121,Absence seizure with eyelid myoclonia
HP:0011149,HP:0002121,Absence seizure with eyelid myoclonia
HP:0011149,HP:0002121,Absence seizure with eyelid myoclonia
HP:0011149,HP:0002121,Absence seizure with eyelid myoclonia
HP:0011149,HP:0002121,Absence seizure with eyelid myoclonia
HP:0011149,HP:0002121,Absence seizure with eyelid myoclonia
HP:0011149,HP:0002121,Absence seizure with eyelid myoclonia
HP:0011149,HP:0002121,Absence seizure with eyelid myoclonia
HP:0011149,HP:0002121,Absence seizure with eyelid myoclonia
HP:0011169,HP:0032677,Generalized clonic seizure
HP:0011169,HP:0032677,Generalized clonic seizure
HP:0011169,HP:0032677,Generalized clonic seizure
HP:0011169,HP:0032677,Generalized clonic seizure
HP:0011169,HP:0032677,Generalized clonic seizure
HP:0011169,HP:0032677,Generalized clonic seizure
HP:0032842,HP:0032677,Generalized-onset epileptic spasm
HP:0032842,HP:0032677,Generalized-onset epileptic spasm
HP:0032842,HP:0032677,Generalized-onset epileptic spasm
HP:0032842,HP:0032677,Generalized-onset epileptic spasm
HP:0032842,HP:0032677,Generalized-onset epileptic spasm
HP:0032842,HP:0032677,Generalized-onset epileptic spasm
HP:0011170,HP:0032677,Generalized myoclonic-atonic seizure
HP:0011170,HP:0032677,Generalized myoclonic-atonic seizure
HP:0011170,HP:0032677,Generalized myoclonic-atonic seizure
HP:0011170,HP:0032677,Generalized myoclonic-atonic seizure
HP:0002123,HP:0032677,Generalized myoclonic seizure
HP:0002123,HP:0032677,Generalized myoclonic seizure
HP:0002123,HP:0032677,Generalized myoclonic seizure
HP:0025190,HP:0032677,Bilateral tonic-clonic seizure with generalized onset
HP:0025190,HP:0032677,Bilateral tonic-clonic seizure with generalized onset
HP:0025190,HP:0032677,Bilateral tonic-clonic seizure with generalized onset
HP:0010818,HP:0032677,Generalized tonic seizure
HP:0010818,HP:0032677,Generalized tonic seizure
HP:0010818,HP:0032677,Generalized tonic seizure
HP:0010818,HP:0032677,Generalized tonic seizure
HP:0010818,HP:0032677,Generalized tonic seizure
HP:0010818,HP:0032677,Generalized tonic seizure
HP:0032887,HP:0032677,Generalized atonic seizure
HP:0032887,HP:0032677,Generalized atonic seizure
HP:0032887,HP:0032677,Generalized atonic seizure
HP:0032887,HP:0032677,Generalized atonic seizure
HP:0032887,HP:0032677,Generalized atonic seizure
HP:0032887,HP:0032677,Generalized atonic seizure
HP:0032795,HP:0032677,Generalized myoclonic-tonic-clonic seizure
HP:0032795,HP:0032677,Generalized myoclonic-tonic-clonic seizure
HP:0032746,HP:0032716,Focal impaired awareness emotional seizure
HP:0032746,HP:0032716,Focal impaired awareness emotional seizure
HP:0032746,HP:0032716,Focal impaired awareness emotional seizure
HP:0032746,HP:0032716,Focal impaired awareness emotional seizure
HP:0032756,HP:0032716,Focal impaired awareness cognitive seizure
HP:0032756,HP:0032716,Focal impaired awareness cognitive seizure
HP:0032756,HP:0032716,Focal impaired awareness cognitive seizure
HP:0032756,HP:0032716,Focal impaired awareness cognitive seizure
HP:0032790,HP:0032716,Focal impaired awareness behavior arrest seizure
HP:0032790,HP:0032716,Focal impaired awareness behavior arrest seizure
HP:0032790,HP:0032716,Focal impaired awareness behavior arrest seizure
HP:0032790,HP:0032716,Focal impaired awareness behavior arrest seizure
HP:0032790,HP:0032716,Focal impaired awareness behavior arrest seizure
HP:0032790,HP:0032716,Focal impaired awareness behavior arrest seizure
HP:0032790,HP:0032716,Focal impaired awareness behavior arrest seizure
HP:0032790,HP:0032716,Focal impaired awareness behavior arrest seizure
HP:0032787,HP:0032716,Focal impaired awareness sensory seizure
HP:0032787,HP:0032716,Focal impaired awareness sensory seizure
HP:0032787,HP:0032716,Focal impaired awareness sensory seizure
HP:0032787,HP:0032716,Focal impaired awareness sensory seizure
HP:0032755,HP:0032716,Focal impaired awareness autonomic seizure
HP:0032755,HP:0032716,Focal impaired awareness autonomic seizure
HP:0032755,HP:0032716,Focal impaired awareness autonomic seizure
HP:0032755,HP:0032716,Focal impaired awareness autonomic seizure
HP:0032858,HP:0032712,Focal impaired awareness motor seizure with negative myoclonus
HP:0032858,HP:0032712,Focal impaired awareness motor seizure with negative myoclonus
HP:0032858,HP:0032712,Focal impaired awareness motor seizure with negative myoclonus
HP:0032858,HP:0032712,Focal impaired awareness motor seizure with negative myoclonus
HP:0032858,HP:0032712,Focal impaired awareness motor seizure with negative myoclonus
HP:0032858,HP:0032712,Focal impaired awareness motor seizure with negative myoclonus
HP:0032858,HP:0032712,Focal impaired awareness motor seizure with negative myoclonus
HP:0032858,HP:0032712,Focal impaired awareness motor seizure with negative myoclonus
HP:0032858,HP:0032712,Focal impaired awareness motor seizure with negative myoclonus
HP:0032858,HP:0032712,Focal impaired awareness motor seizure with negative myoclonus
HP:0032858,HP:0032712,Focal impaired awareness motor seizure with negative myoclonus
HP:0032858,HP:0032712,Focal impaired awareness motor seizure with negative myoclonus
HP:0032724,HP:0032712,Focal impaired awareness tonic seizure
HP:0032724,HP:0032712,Focal impaired awareness tonic seizure
HP:0032724,HP:0032712,Focal impaired awareness tonic seizure
HP:0032724,HP:0032712,Focal impaired awareness tonic seizure
HP:0032724,HP:0032712,Focal impaired awareness tonic seizure
HP:0032724,HP:0032712,Focal impaired awareness tonic seizure
HP:0032724,HP:0032712,Focal impaired awareness tonic seizure
HP:0032724,HP:0032712,Focal impaired awareness tonic seizure
HP:0032724,HP:0032712,Focal impaired awareness tonic seizure
